Variant	Trades	NET	MaxDD	DD%	PF	Sharpe
stab_adx_20	57	107.31	6.42	0.58%	4.78	79.96
stab_adx_25	61	115.42	4.31	0.39%	4.79	81.73
stab_adx_30	157	100.44	26.64	2.37%	1.87	34.72
stab_cl_2	80	111.65	16.12	1.44%	3.25	67.09
stab_cl_3	61	115.42	4.31	0.39%	4.79	81.73
stab_cl_4	59	114.01	6.51	0.58%	5.01	83.71
stab_cl_5	61	109.56	10.96	0.98%	4.33	79.28
stab_hold_40	61	115.42	4.31	0.39%	4.79	81.73
stab_hold_50	61	115.42	4.31	0.39%	4.79	81.73
stab_hold_60	61	115.42	4.31	0.39%	4.79	81.73
stab_hold_70	61	115.42	4.31	0.39%	4.79	81.73
stab_hold_80	61	115.42	4.31	0.39%	4.79	81.73
stab_lon_15	60	58.24	14.96	1.40%	2.68	71.67
stab_lon_16	70	77.51	10.73	0.99%	2.98	84.76
stab_lon_17	61	115.42	4.31	0.39%	4.79	81.73
stab_lon_18	65	113.41	4.31	0.39%	4.49	76.94
stab_sl_1.2	61	115.42	4.31	0.39%	4.79	81.73
stab_sl_1.3	61	115.42	4.31	0.39%	4.79	81.73
stab_sl_1.4	61	115.42	4.31	0.39%	4.79	81.73
stab_sl_1.5	61	115.42	4.31	0.39%	4.79	81.73
stab_sl_1.6	61	115.42	4.31	0.39%	4.79	81.73
stab_sl_1.7	61	115.42	4.31	0.39%	4.79	81.73
stab_sl_1.8	61	115.42	4.31	0.39%	4.79	81.73
stab_tp_0.9	60	101.78	4.31	0.39%	4.59	96.95
stab_tp_1.0	60	108.19	4.31	0.39%	4.82	91.79
stab_tp_1.1	60	105.86	4.31	0.39%	4.73	80.71
stab_tp_1.2	61	115.42	4.31	0.39%	4.79	81.73
stab_tp_1.3	62	127.71	4.31	0.38%	5.19	83.45
stab_tp_1.4	61	117.75	4.31	0.39%	4.87	87.69
stab_tp_1.5	60	112.46	4.31	0.39%	4.97	88.97
